"","Year","types_of_analysts","Agency","average_analyst_salary","total_analysts"
"32",2024,"Program Analyst
Operations & Policy Analyst
Human Resource Analyst
Fiscal Analyst","VETERANS AFFAIRS, DEPT OF",93640,27
"33",2024,"Operations & Policy Analyst
Program Analyst
Human Resource Analyst
Fiscal Analyst","AGRICULTURE, DEPT OF",102430,23
"34",2024,"Program Analyst
Research Analyst
Operations & Policy Analyst","CRIMINAL JUSTICE COMMISSION",85100,21
"35",2024,"Principal Legislative Fiscal Analyst
Legislative Fiscal Analyst
Senior Legislative Fiscal Analyst","LEGISLATIVE FISCAL OFFICER",172090,19
"36",2024,"Editor/Analyst I
Editor/Analyst Ii
Senior Editor/Analyst","LEGISLATIVE COUNSEL COMMITTEE",98440,16
"37",2024,"Operations & Policy Analyst
Fiscal Analyst
Human Resource Analyst
Payroll Analyst
Program Analyst","WATER RESOURCES, DEPT OF",84860,14
"38",2024,"Operations & Policy Analyst
Program Analyst
Fiscal Analyst","LABOR & INDUSTRIES, BUREAU OF",102430,13
"39",2024,"Program Analyst
Research Analyst","LONG TERM CARE OMBUDSMAN",98060,13
"40",2024,"Human Resource Analyst
Operations & Policy Analyst
Research Analyst
Fiscal Analyst
Payroll Analyst
Program Analyst","PUBLIC SAFETY STANDARDS & TRNG",91070,12
"41",2024,"Program Analyst
Fiscal Analyst
Operations & Policy Analyst","Multiple Agencies",98120,7
